race,height,weight,speed,strength,dexterity,constitution,intelligence,wisdom,charisma,density
dragonborn,73,217,30,10,15,14,9,14,13,2.9726027397260273
dragonborn,81,265,30,17,14,13,14,11,11,3.271604938271605
dragonborn,74,231,30,15,11,8,10,11,18,3.1216216216216215
dragonborn,80,259,30,14,12,15,12,13,14,3.2375
dragonborn,75,229,30,10,14,14,13,9,8,3.0533333333333332
dragonborn,80,245,30,14,12,11,11,13,14,3.0625
dragonborn,78,247,30,12,15,8,10,15,17,3.1666666666666665
dragonborn,74,239,30,12,11,11,15,13,18,3.22972972972973
dragonborn,73,231,30,18,14,14,11,8,14,3.164383561643836
dragonborn,71,205,30,12,17,15,14,16,15,2.887323943661972
dragonborn,75,283,30,19,11,15,10,8,7,3.7733333333333334
dragonborn,75,220,30,12,9,8,16,13,14,2.933333333333333
dragonborn,72,235,30,15,18,7,15,14,13,3.263888888888889
dragonborn,70,211,30,8,14,14,12,10,12,3.0142857142857142
dragonborn,77,241,30,18,14,16,14,14,8,3.1298701298701297
dragonborn,76,255,30,11,15,8,8,11,15,3.3552631578947367
dragonborn,82,239,30,15,15,15,13,8,17,2.9146341463414633
dragonborn,81,265,30,16,16,18,12,9,15,3.271604938271605
dragonborn,81,250,30,13,14,14,10,7,11,3.0864197530864197
dragonborn,82,367,30,10,18,9,16,15,12,4.475609756097561
dragonborn,82,239,30,17,14,12,12,13,8,2.9146341463414633
dragonborn,72,217,30,16,15,12,9,15,9,3.013888888888889
dragonborn,75,202,30,18,14,12,11,13,16,2.6933333333333334
dragonborn,80,273,30,19,13,8,16,7,13,3.4125
dragonborn,78,235,30,15,12,10,9,12,12,3.0128205128205128
dragonborn,76,235,30,14,14,15,10,11,11,3.0921052631578947
dragonborn,73,245,30,16,15,17,10,15,14,3.356164383561644
dragonborn,74,231,30,19,17,13,14,10,10,3.1216216216216215
dragonborn,81,220,30,6,11,5,6,12,17,2.7160493827160495
dragonborn,79,214,30,16,15,18,17,13,15,2.7088607594936707
dragonborn,72,211,30,13,17,7,13,14,17,2.9305555555555554
dragonborn,74,207,30,12,11,13,17,12,19,2.7972972972972974
dragonborn,80,245,30,18,15,8,13,16,11,3.0625
dragonborn,79,240,30,12,14,15,12,10,17,3.037974683544304
dragonborn,73,245,30,10,14,11,15,8,7,3.356164383561644
dragonborn,78,271,30,14,13,15,16,13,18,3.4743589743589745
dragonborn,80,301,30,9,13,13,11,11,12,3.7625
dragonborn,76,195,30,15,9,11,16,15,12,2.5657894736842106
dragonborn,76,235,30,11,17,11,14,11,17,3.0921052631578947
dragonborn,75,265,30,14,14,8,17,15,9,3.533333333333333
dragonborn,71,210,30,14,13,13,14,16,14,2.9577464788732395
dragonborn,75,247,30,16,11,11,12,10,17,3.2933333333333334
dragonborn,79,266,30,15,13,12,10,12,12,3.367088607594937
dragonborn,73,203,30,13,15,10,9,12,15,2.780821917808219
dragonborn,75,238,30,19,13,13,11,17,17,3.1733333333333333
dragonborn,77,252,30,12,12,9,8,16,14,3.272727272727273
dragonborn,71,230,30,14,10,18,13,9,14,3.23943661971831
dragonborn,72,217,30,18,11,13,17,14,11,3.013888888888889
dragonborn,70,207,30,16,12,10,14,14,12,2.9571428571428573
dragonborn,75,220,30,13,15,9,8,14,15,2.933333333333333
dragonborn,76,215,30,16,19,6,16,10,14,2.8289473684210527
dragonborn,73,217,30,14,14,14,11,12,5,2.9726027397260273
dragonborn,79,292,30,11,11,9,12,11,12,3.6962025316455698
dragonborn,69,199,30,16,16,9,10,11,10,2.8840579710144927
dragonborn,69,202,30,15,13,13,13,13,10,2.927536231884058
dragonborn,75,238,30,12,15,14,16,6,13,3.1733333333333333
dragonborn,74,215,30,16,10,7,13,15,12,2.9054054054054053
dragonborn,72,217,30,12,15,11,10,6,15,3.013888888888889
dragonborn,75,220,30,17,9,13,16,12,15,2.933333333333333
dragonborn,71,220,30,14,15,12,6,12,15,3.0985915492957745
dragonborn,74,215,30,18,14,17,14,10,13,2.9054054054054053
dragonborn,82,223,30,15,13,12,9,14,16,2.7195121951219514
dragonborn,77,197,30,11,14,15,17,10,16,2.5584415584415585
dragonborn,73,217,30,15,20,8,12,15,16,2.9726027397260273
dragonborn,78,295,30,14,14,11,13,10,13,3.782051282051282
dragonborn,78,271,30,9,14,13,12,10,11,3.4743589743589745
dragonborn,78,211,30,12,16,14,17,14,17,2.7051282051282053
dragonborn,78,247,30,10,13,18,10,12,13,3.1666666666666665
dragonborn,82,303,30,19,15,10,13,10,16,3.6951219512195124
dragonborn,76,245,30,15,18,16,15,16,12,3.223684210526316
dragonborn,76,265,30,9,14,10,11,14,10,3.486842105263158
dragonborn,68,193,30,15,12,13,15,8,13,2.838235294117647
dragonborn,72,217,30,14,14,9,12,16,19,3.013888888888889
dragonborn,72,199,30,15,13,11,13,12,11,2.763888888888889
dragonborn,77,219,30,16,15,8,11,14,16,2.844155844155844
dragonborn,78,295,30,14,15,12,11,16,16,3.782051282051282
dragonborn,78,211,30,12,14,15,9,13,13,2.7051282051282053
dragonborn,77,252,30,16,10,12,11,15,11,3.272727272727273
dragonborn,74,231,30,20,12,11,13,14,16,3.1216216216216215
dragonborn,73,231,30,18,12,10,11,6,17,3.164383561643836
dragonborn,71,210,30,14,11,11,10,18,10,2.9577464788732395
dragonborn,75,238,30,15,12,11,4,11,11,3.1733333333333333
dragonborn,73,217,30,16,15,13,11,10,14,2.9726027397260273
dragonborn,79,305,30,15,17,10,10,12,14,3.8607594936708862
dragonborn,78,235,30,14,18,14,15,13,12,3.0128205128205128
dragonborn,78,247,30,14,13,10,12,15,18,3.1666666666666665
dragonborn,76,255,30,18,8,14,17,6,17,3.3552631578947367
dragonborn,74,239,30,15,12,14,16,11,13,3.22972972972973
dragonborn,75,229,30,12,14,16,9,11,14,3.0533333333333332
dragonborn,75,229,30,16,19,10,10,9,16,3.0533333333333332
dragonborn,72,235,30,14,13,7,13,14,12,3.263888888888889
dragonborn,73,231,30,13,16,8,15,13,12,3.164383561643836
dragonborn,73,252,30,16,14,11,15,17,15,3.452054794520548
dragonborn,77,197,30,16,15,13,4,15,12,2.5584415584415585
dragonborn,78,223,30,16,16,15,17,9,12,2.858974358974359
dragonborn,70,203,30,6,12,12,12,15,16,2.9
dragonborn,73,238,30,10,16,11,16,13,9,3.26027397260274
dragonborn,70,199,30,14,13,9,10,15,11,2.842857142857143
dragonborn,80,231,30,15,18,14,14,15,15,2.8875
dragonborn,75,247,30,14,13,11,9,12,19,3.2933333333333334
dragonborn,75,220,30,12,16,15,11,11,17,2.933333333333333
dragonborn,75,247,30,9,12,13,11,12,18,3.2933333333333334
dragonborn,74,255,30,11,10,13,10,11,13,3.445945945945946
dragonborn,73,252,30,13,13,14,7,8,16,3.452054794520548
dragonborn,77,296,30,11,13,12,13,15,13,3.844155844155844
dragonborn,74,223,30,17,12,14,17,9,15,3.0135135135135136
dragonborn,74,271,30,16,16,13,12,9,14,3.6621621621621623
dragonborn,74,239,30,18,13,14,11,12,14,3.22972972972973
dragonborn,77,274,30,19,11,14,11,8,8,3.5584415584415585
dragonborn,75,229,30,13,13,7,12,14,16,3.0533333333333332
dragonborn,80,287,30,9,12,10,18,11,19,3.5875
dragonborn,74,255,30,12,16,15,11,12,6,3.445945945945946
dragonborn,78,247,30,12,14,15,7,10,13,3.1666666666666665
dragonborn,75,220,30,13,16,12,16,17,14,2.933333333333333
dragonborn,75,274,30,14,13,7,14,12,16,3.6533333333333333
dragonborn,79,227,30,15,15,11,10,9,14,2.8734177215189876
dragonborn,76,225,30,20,16,12,18,11,12,2.960526315789474
dragonborn,75,247,30,15,11,5,13,15,13,3.2933333333333334
dragonborn,75,220,30,18,13,10,13,14,12,2.933333333333333
dragonborn,73,238,30,19,10,15,15,11,12,3.26027397260274
dragonborn,79,253,30,10,14,15,13,6,16,3.2025316455696204
dragonborn,73,231,30,15,15,15,11,18,16,3.164383561643836
dragonborn,76,285,30,17,13,10,10,14,17,3.75
dragonborn,74,263,30,15,11,13,16,12,16,3.554054054054054
dragonborn,79,318,30,16,11,12,13,9,8,4.025316455696203
dragonborn,74,255,30,13,12,9,10,11,17,3.445945945945946
dragonborn,77,285,30,17,6,10,11,6,15,3.7012987012987013
dragonborn,74,231,30,14,12,9,16,14,16,3.1216216216216215
dragonborn,73,203,30,12,18,9,9,10,5,2.780821917808219
dragonborn,71,210,30,8,10,11,11,16,13,2.9577464788732395
dragonborn,75,211,30,12,12,16,11,13,18,2.8133333333333335
dragonborn,81,220,30,16,15,16,16,11,14,2.7160493827160495
dragonborn,69,196,30,9,13,18,9,13,16,2.8405797101449277
dragonborn,72,223,30,19,15,14,14,8,17,3.0972222222222223
dragonborn,70,211,30,16,12,12,16,15,14,3.0142857142857142
dragonborn,75,256,30,13,16,14,12,12,12,3.4133333333333336
dragonborn,74,223,30,19,18,16,11,13,6,3.0135135135135136
dragonborn,75,202,30,16,10,7,13,15,11,2.6933333333333334
dragonborn,75,211,30,18,17,13,9,16,14,2.8133333333333335
dragonborn,70,219,30,12,11,13,10,14,12,3.1285714285714286
dragonborn,73,196,30,18,13,14,13,13,12,2.684931506849315
dragonborn,71,195,30,9,12,14,11,11,6,2.7464788732394365
dragonborn,74,199,30,14,16,12,11,13,9,2.689189189189189
dragonborn,76,255,30,14,14,13,14,5,10,3.3552631578947367
dragonborn,74,255,30,10,8,13,4,11,16,3.445945945945946
dragonborn,74,223,30,15,7,15,11,13,14,3.0135135135135136
dragonborn,76,255,30,17,14,13,15,14,12,3.3552631578947367
dragonborn,70,219,30,14,15,12,8,4,16,3.1285714285714286
dragonborn,78,295,30,13,14,14,13,8,13,3.782051282051282
dragonborn,76,225,30,20,14,11,9,16,11,2.960526315789474
dragonborn,80,301,30,13,15,13,16,6,12,3.7625
dragonborn,75,238,30,8,14,10,14,15,15,3.1733333333333333
dragonborn,77,230,30,13,15,13,16,13,10,2.987012987012987
dragonborn,72,193,30,10,11,13,12,17,9,2.6805555555555554
dragonborn,79,201,30,12,17,12,7,13,15,2.5443037974683542
dragonborn,75,283,30,16,15,15,12,17,15,3.7733333333333334
dragonborn,75,247,30,14,18,12,17,12,17,3.2933333333333334
dragonborn,73,238,30,14,14,15,15,10,13,3.26027397260274
dragonborn,80,287,30,10,16,10,15,9,17,3.5875
dragonborn,78,259,30,14,11,14,15,16,18,3.3205128205128207
dragonborn,80,287,30,12,14,15,12,14,18,3.5875
dragonborn,79,279,30,19,13,17,11,13,17,3.5316455696202533
dragonborn,73,196,30,18,11,16,14,15,17,2.684931506849315
dragonborn,72,229,30,20,9,14,14,8,13,3.1805555555555554
dragonborn,74,215,30,14,7,15,16,16,17,2.9054054054054053
dragonborn,70,207,30,19,14,15,12,17,19,2.9571428571428573
dragonborn,71,225,30,12,13,12,14,14,12,3.1690140845070425
dragonborn,71,215,30,19,13,13,16,12,11,3.028169014084507
dragonborn,78,259,30,17,7,12,14,10,14,3.3205128205128207
dragonborn,77,296,30,12,16,9,11,11,11,3.844155844155844
dragonborn,73,217,30,14,14,13,17,16,13,2.9726027397260273
dragonborn,74,255,30,18,13,11,10,14,15,3.445945945945946
dragonborn,81,295,30,13,6,8,15,13,13,3.6419753086419755
dragonborn,74,271,30,15,13,18,6,11,15,3.6621621621621623
dragonborn,81,325,30,13,8,15,14,10,9,4.012345679012346
dragonborn,73,203,30,17,14,11,12,17,9,2.780821917808219
dragonborn,78,271,30,15,14,16,10,9,12,3.4743589743589745
dragonborn,74,239,30,18,17,11,15,8,15,3.22972972972973
dragonborn,71,185,30,18,13,15,16,14,12,2.6056338028169015
dragonborn,73,231,30,14,10,12,7,7,15,3.164383561643836
dragonborn,76,225,30,18,16,9,10,13,12,2.960526315789474
dragonborn,74,199,30,15,12,12,8,17,12,2.689189189189189
dragonborn,78,259,30,15,12,7,10,14,18,3.3205128205128207
dragonborn,76,245,30,11,11,13,8,7,12,3.223684210526316
dragonborn,72,229,30,15,16,14,13,10,19,3.1805555555555554
dragonborn,82,319,30,12,15,14,13,14,11,3.8902439024390243
dragonborn,74,231,30,12,18,15,15,15,12,3.1216216216216215
dragonborn,79,279,30,19,16,8,13,11,16,3.5316455696202533
dragonborn,75,211,30,10,18,6,11,13,15,2.8133333333333335
dragonborn,80,301,30,16,12,16,14,13,9,3.7625
dragonborn,72,217,30,16,8,9,9,13,9,3.013888888888889
dragonborn,80,245,30,15,9,16,12,10,14,3.0625
dragonborn,70,191,30,15,19,13,10,12,17,2.7285714285714286
dragonborn,76,265,30,16,17,16,12,14,16,3.486842105263158
dragonborn,73,217,30,16,12,13,13,8,17,2.9726027397260273
dragonborn,79,279,30,13,15,15,14,12,16,3.5316455696202533
dragonborn,76,225,30,17,16,11,16,13,15,2.960526315789474
dragonborn,70,207,30,18,14,13,14,13,12,2.9571428571428573
dragonborn,79,240,30,13,15,15,13,14,10,3.037974683544304
dragonborn,74,223,30,11,16,15,12,16,15,3.0135135135135136
dragonborn,72,211,30,16,15,8,6,7,12,2.9305555555555554
dragonborn,73,231,30,13,14,8,16,11,17,3.164383561643836
dragonborn,79,266,30,19,15,13,7,15,17,3.367088607594937
dragonborn,75,265,30,15,12,12,12,12,9,3.533333333333333
dragonborn,72,223,30,19,13,13,8,7,14,3.0972222222222223
dragonborn,77,285,30,16,17,14,11,18,10,3.7012987012987013
dragonborn,73,217,30,15,18,14,11,6,19,2.9726027397260273
dragonborn,74,255,30,15,15,14,9,10,11,3.445945945945946
dragonborn,75,265,30,11,12,13,11,15,15,3.533333333333333
dragonborn,69,187,30,13,20,8,16,12,14,2.710144927536232
dragonborn,76,215,30,17,13,15,9,11,9,2.8289473684210527
dragonborn,71,220,30,12,18,9,14,8,16,3.0985915492957745
dragonborn,73,224,30,13,13,16,15,7,13,3.0684931506849313
dragonborn,75,238,30,10,15,15,14,10,15,3.1733333333333333
dragonborn,73,196,30,13,20,7,9,10,11,2.684931506849315
dragonborn,74,239,30,15,15,13,11,14,14,3.22972972972973
dragonborn,79,305,30,16,11,9,12,15,9,3.8607594936708862
dragonborn,68,189,30,15,16,9,15,15,16,2.7794117647058822
dragonborn,76,285,30,18,11,17,15,18,7,3.75
dragonborn,69,199,30,19,15,13,10,12,8,2.8840579710144927
dragonborn,70,195,30,12,17,11,17,15,13,2.7857142857142856
dragonborn,74,231,30,14,12,17,10,18,19,3.1216216216216215
dragonborn,73,224,30,7,14,17,9,6,10,3.0684931506849313
dragonborn,77,219,30,18,18,10,7,14,18,2.844155844155844
dragonborn,76,295,30,20,15,15,16,10,15,3.8815789473684212
dragonborn,74,247,30,12,13,10,9,11,11,3.3378378378378377
dragonborn,75,220,30,11,12,8,11,11,7,2.933333333333333
dragonborn,72,205,30,14,18,14,12,14,14,2.8472222222222223
dragonborn,74,255,30,15,11,11,16,11,15,3.445945945945946
dragonborn,75,256,30,13,17,10,10,16,10,3.4133333333333336
dragonborn,78,295,30,18,13,15,15,16,15,3.782051282051282
dragonborn,74,207,30,16,15,13,8,11,15,2.7972972972972974
dragonborn,77,208,30,10,16,9,15,11,13,2.7012987012987013
dragonborn,75,247,30,17,14,16,10,11,15,3.2933333333333334
dragonborn,72,223,30,13,12,9,9,16,18,3.0972222222222223
dragonborn,73,231,30,18,14,15,10,14,17,3.164383561643836
dragonborn,75,283,30,18,17,14,17,10,16,3.7733333333333334
dragonborn,75,220,30,17,18,10,10,8,15,2.933333333333333
dragonborn,81,265,30,13,11,13,7,12,14,3.271604938271605
dragonborn,74,239,30,15,16,16,15,15,16,3.22972972972973
dragonborn,74,231,30,16,14,10,13,13,16,3.1216216216216215
dragonborn,78,223,30,14,11,14,14,9,14,2.858974358974359
dragonborn,69,199,30,13,12,9,15,10,11,2.8840579710144927
dragonborn,78,259,30,15,17,15,13,12,11,3.3205128205128207
dragonborn,78,223,30,13,8,16,16,12,14,2.858974358974359
dragonborn,80,259,30,12,15,8,11,13,13,3.2375
dragonborn,77,252,30,12,11,11,13,13,14,3.272727272727273
dragonborn,80,287,30,15,13,11,11,10,15,3.5875
dragonborn,74,215,30,15,19,11,16,11,18,2.9054054054054053
dragonborn,71,215,30,17,12,13,14,11,15,3.028169014084507
dragonborn,71,230,30,12,18,13,11,8,12,3.23943661971831
dragonborn,70,199,30,16,13,14,12,13,19,2.842857142857143
dragonborn,71,210,30,15,8,12,8,14,15,2.9577464788732395
dragonborn,71,185,30,16,17,12,10,12,11,2.6056338028169015
dragonborn,80,315,30,16,16,14,12,10,9,3.9375
dragonborn,72,205,30,12,12,11,12,12,14,2.8472222222222223
dragonborn,77,263,30,16,12,14,9,12,14,3.4155844155844157
dragonborn,72,217,30,9,13,16,12,15,17,3.013888888888889
dragonborn,71,215,30,12,16,16,14,10,13,3.028169014084507
dragonborn,74,207,30,13,11,13,10,15,15,2.7972972972972974
dragonborn,81,280,30,14,16,10,15,5,14,3.45679012345679
dragonborn,72,205,30,17,16,13,16,9,14,2.8472222222222223
dragonborn,74,239,30,18,16,12,10,11,11,3.22972972972973
dragonborn,76,265,30,13,18,15,9,11,14,3.486842105263158
dragonborn,73,224,30,9,12,12,11,13,7,3.0684931506849313
dragonborn,74,255,30,13,17,14,17,12,14,3.445945945945946
dragonborn,72,199,30,16,14,9,12,11,11,2.763888888888889
dragonborn,82,335,30,17,16,10,17,13,11,4.085365853658536
dragonborn,80,301,30,18,11,13,14,8,14,3.7625
dragonborn,76,235,30,18,12,7,13,9,15,3.0921052631578947
dragonborn,79,240,30,12,19,16,16,16,10,3.037974683544304
dragonborn,75,211,30,17,11,12,12,13,13,2.8133333333333335
dragonborn,78,223,30,15,15,10,12,9,12,2.858974358974359
dragonborn,74,247,30,7,17,9,12,13,12,3.3378378378378377
dragonborn,73,238,30,15,12,13,8,15,11,3.26027397260274
dragonborn,80,315,30,15,15,8,9,12,14,3.9375
dragonborn,70,219,30,15,14,12,14,11,17,3.1285714285714286
dragonborn,79,253,30,16,13,5,14,11,17,3.2025316455696204
dragonborn,73,210,30,13,13,10,13,10,13,2.8767123287671232
dragonborn,82,239,30,12,18,13,6,10,19,2.9146341463414633
dragonborn,71,210,30,10,12,13,9,15,13,2.9577464788732395
dragonborn,80,287,30,7,12,16,10,12,11,3.5875
dragonborn,71,225,30,16,15,14,10,13,15,3.1690140845070425
dragonborn,75,229,30,11,15,12,11,14,13,3.0533333333333332
dragonborn,77,263,30,17,14,16,15,7,7,3.4155844155844157
dragonborn,70,219,30,17,15,16,11,15,12,3.1285714285714286
dragonborn,75,274,30,16,17,14,17,16,13,3.6533333333333333
dragonborn,78,283,30,11,11,14,15,9,14,3.628205128205128
dragonborn,81,340,30,11,10,16,12,9,17,4.197530864197531
dragonborn,76,265,30,12,12,14,15,17,9,3.486842105263158
dragonborn,70,199,30,17,17,15,10,17,11,2.842857142857143
dragonborn,74,247,30,18,17,11,13,15,15,3.3378378378378377
dragonborn,74,231,30,15,17,13,14,15,15,3.1216216216216215
dragonborn,69,193,30,13,14,12,10,13,13,2.7971014492753623
dragonborn,74,207,30,14,16,10,12,10,16,2.7972972972972974
dragonborn,69,193,30,17,13,17,13,10,14,2.7971014492753623
dragonborn,78,235,30,18,15,8,13,8,12,3.0128205128205128
dragonborn,72,223,30,12,9,11,9,16,15,3.0972222222222223
dragonborn,79,266,30,15,11,9,13,10,17,3.367088607594937
dragonborn,77,252,30,17,14,15,14,15,16,3.272727272727273
dragonborn,76,225,30,13,18,12,16,16,9,2.960526315789474
dragonborn,77,208,30,9,20,11,18,13,15,2.7012987012987013
dragonborn,78,271,30,15,12,13,13,11,16,3.4743589743589745
dragonborn,78,259,30,15,10,16,10,12,15,3.3205128205128207
dragonborn,76,245,30,14,10,15,11,10,12,3.223684210526316
dragonborn,75,238,30,16,16,16,16,11,10,3.1733333333333333
dragonborn,79,227,30,14,14,13,14,10,14,2.8734177215189876
dragonborn,74,247,30,10,14,10,14,14,12,3.3378378378378377
dragonborn,71,200,30,16,13,15,11,8,15,2.816901408450704
dragonborn,76,225,30,16,14,8,15,10,16,2.960526315789474
dragonborn,69,187,30,9,18,9,13,12,14,2.710144927536232
dragonborn,72,223,30,17,14,8,9,11,11,3.0972222222222223
dragonborn,71,205,30,17,12,9,18,17,15,2.887323943661972
dragonborn,76,255,30,19,14,17,10,8,15,3.3552631578947367
dragonborn,74,231,30,18,19,14,12,10,11,3.1216216216216215
dragonborn,76,225,30,11,11,11,13,11,15,2.960526315789474
dragonborn,77,296,30,15,11,14,15,11,17,3.844155844155844
dragonborn,74,239,30,14,11,15,15,15,13,3.22972972972973
dragonborn,76,215,30,12,17,6,15,11,12,2.8289473684210527
dragonborn,74,239,30,14,13,16,11,11,13,3.22972972972973
dragonborn,74,231,30,18,14,15,11,11,17,3.1216216216216215
dragonborn,71,210,30,14,14,11,16,10,14,2.9577464788732395
dragonborn,74,247,30,18,13,8,8,10,17,3.3378378378378377
dragonborn,80,315,30,14,14,12,15,9,14,3.9375
dragonborn,72,211,30,11,11,15,14,11,16,2.9305555555555554
dragonborn,70,203,30,13,15,15,10,10,15,2.9
dragonborn,75,274,30,14,13,12,16,11,9,3.6533333333333333
dragonborn,73,203,30,14,12,16,11,9,16,2.780821917808219
dragonborn,79,227,30,16,16,17,16,13,13,2.8734177215189876
dragonborn,72,211,30,14,14,13,15,12,9,2.9305555555555554
dragonborn,73,210,30,17,13,7,10,18,10,2.8767123287671232
dragonborn,68,185,30,15,16,7,16,12,9,2.7205882352941178
dragonborn,75,238,30,17,15,11,15,13,14,3.1733333333333333
dragonborn,70,195,30,16,14,14,9,14,17,2.7857142857142856
dragonborn,81,295,30,13,15,10,11,15,15,3.6419753086419755
dragonborn,80,259,30,10,18,13,14,13,14,3.2375
dragonborn,76,235,30,15,17,9,14,13,13,3.0921052631578947
dragonborn,76,265,30,10,15,12,8,14,11,3.486842105263158
dragonborn,78,259,30,19,9,14,14,15,12,3.3205128205128207
dragonborn,77,219,30,19,17,14,8,15,10,2.844155844155844
dragonborn,72,235,30,18,9,13,17,13,16,3.263888888888889
dragonborn,80,273,30,13,13,16,18,16,13,3.4125
dragonborn,80,315,30,18,17,15,13,15,11,3.9375
dragonborn,75,229,30,14,16,11,14,8,13,3.0533333333333332
dragonborn,70,187,30,12,6,10,9,7,17,2.6714285714285713
dragonborn,77,274,30,16,11,13,17,10,12,3.5584415584415585
dragonborn,73,196,30,12,17,14,8,15,7,2.684931506849315
dragonborn,77,285,30,12,15,15,11,16,14,3.7012987012987013
dragonborn,76,255,30,16,16,8,10,10,16,3.3552631578947367
dragonborn,72,229,30,18,11,11,17,15,10,3.1805555555555554
dragonborn,72,205,30,14,14,12,13,16,16,2.8472222222222223
dragonborn,73,210,30,14,16,11,17,13,14,2.8767123287671232
dragonborn,71,195,30,12,17,14,14,14,11,2.7464788732394365
dragonborn,76,245,30,14,12,10,16,5,14,3.223684210526316
dragonborn,72,211,30,12,15,13,13,14,12,2.9305555555555554
dragonborn,77,219,30,14,15,10,14,13,14,2.844155844155844
dragonborn,73,231,30,13,16,14,15,15,13,3.164383561643836
dragonborn,69,193,30,14,19,10,14,13,14,2.7971014492753623
dragonborn,76,265,30,14,12,13,7,10,9,3.486842105263158
dragonborn,76,255,30,13,16,9,18,6,18,3.3552631578947367
dragonborn,72,217,30,14,11,7,12,10,12,3.013888888888889
dragonborn,74,239,30,16,15,13,11,12,9,3.22972972972973
dragonborn,76,255,30,13,10,13,13,13,10,3.3552631578947367
dragonborn,75,256,30,13,18,16,12,13,16,3.4133333333333336
dragonborn,81,250,30,16,12,17,11,12,17,3.0864197530864197
dragonborn,72,223,30,10,15,11,14,14,10,3.0972222222222223
dragonborn,71,210,30,12,10,15,12,9,15,2.9577464788732395
dragonborn,70,195,30,12,14,13,15,11,11,2.7857142857142856
dragonborn,73,231,30,17,10,14,15,8,16,3.164383561643836
dragonborn,74,247,30,17,13,8,11,16,8,3.3378378378378377
dragonborn,73,224,30,16,12,13,14,5,10,3.0684931506849313
dragonborn,76,285,30,6,9,14,17,15,17,3.75
dragonborn,68,187,30,20,8,13,11,14,15,2.75
dragonborn,78,307,30,12,15,10,12,13,11,3.9358974358974357
dragonborn,79,240,30,17,19,12,9,13,16,3.037974683544304
dragonborn,80,301,30,18,9,13,13,16,17,3.7625
dragonborn,76,235,30,16,16,9,17,11,14,3.0921052631578947
dragonborn,74,247,30,10,12,12,5,13,14,3.3378378378378377
dragonborn,72,211,30,10,15,13,11,13,8,2.9305555555555554
dragonborn,75,247,30,16,14,11,16,14,12,3.2933333333333334
dragonborn,72,223,30,9,16,15,15,12,14,3.0972222222222223
dragonborn,76,235,30,19,13,5,10,12,17,3.0921052631578947
dragonborn,71,225,30,14,14,10,13,12,12,3.1690140845070425
dragonborn,71,210,30,14,14,10,16,12,12,2.9577464788732395
dragonborn,74,247,30,17,14,14,12,16,12,3.3378378378378377
dragonborn,79,318,30,15,13,12,8,10,17,4.025316455696203
dragonborn,73,231,30,17,18,10,7,12,8,3.164383561643836
dragonborn,82,271,30,13,17,12,13,17,9,3.3048780487804876
dragonborn,81,310,30,17,11,16,15,12,10,3.8271604938271606
dragonborn,78,307,30,19,17,9,11,16,19,3.9358974358974357
dragonborn,73,245,30,15,13,13,11,9,14,3.356164383561644
